File:,S38_APP_structure_with_BT_messages__V17_1.xlsx,,,,,,,,,,,,
ETA,ETA,,,,,,,,ALPWISE,,,APPSFACTORY,
"Default values
in the WH after a reset factory setting","Only possible values
to be used by the WH",,,,,,,,Message BT,,,"Only possible values
to be transfered P => W",Comments
,,,,,,,,,,,,,
,,Author: T.Bonnet,,Data in R/W can be read by the smartphone from the watch before to be written after change in the smartphone,,,,,,,,,
,,S38 Bluetooth message,, ,,,,,,,,,
,,,,,,,,,,,,,
,,Change date,,Remove AlarmB,Add ringtone timer,,,,,,,,
,,23.02.2015,, ,Add multi-game volley,,,,,,,,
,,,,Remove goal weekend,Add menu configuration,,,,,,,,
,,,,Remove histogram,Add pedometer per hour,,,,,,,,
,,,,Remove pedometer day first / length,Add clap average power / count,,,,,,,,
,,,,Remove EOL flag,Regroup volley and clap,,,,,,,,
,,,, ,Add age in setPedometerSettings,,,,,,,,
,,,, ,Change timestamp time of volley from 1 to 2 bytes,,,,,,,,
,, ,, ,Add age in settings,,,,,,,,
,,02.02.2015,,,"Add comments, correct control points interpretation",,,,,,,,
,,03.02.2015,,,Change names of SW versions,,,,,,,,
,,03.02.2015,,,Change comment on log deletion,,,,,,,,
,,11.02.2015,,,Review with SW team and update,,,,,,,,
,,12.02.2015,,,Add characterisitic FOTA code,,,,,,,,
,,12.02.2015,,,Modifiy ControlIndex as in Alpwise spec.,,,,,,,,
,,13.02.2015,,,Add unused values to 0xFFFF,,,,,,,,
,,19.02.2015,,,Add comment that volley mvt type is not used,,,,,,,,
,,Smartphone to watch (RW can be read from wach to smartphone before write),,,,,,,,,,,
,,Characteristics,Direction,Fields,Sub-field,R/W,Size (bytes),Bit,Values,Comment,,,
,,SetDate,P->W,,,,5,,,,,,
n/a,Not Used,, ,Weekday,,R/W,1,,0: Monday - 6: Sunday,Not used,,Not Used ,
QUIS prod date,1 to 31 - Real date - UI modified ,,,Day,,R/W,1,,1 to 31,,,1 to 31 + real date (not 31feb),
QUIS prod date,1 to 12 - Real date - UI modified ,,,Month,,R/W,1,,1 to 12,,,1 to 12 + real date (not 31feb),
QUIS prod date,2004 to 2103 - UI modified,,,Year,,R/W,2,,1582-9999,,,2004 to 2103,
,,SetTimeA,P->W,,,,3,,,,,,
QUIS prod time,0 to 23 - UI modified,,,Hour,,R/W,1,,0 to 23,,,0 to 23,
QUIS prod time,0 to 59 - UI modified,,,Minute,,R/W,1,,0 to 59,,,0 to 59,
QUIS prod time,0 to 59 - UI modified,,,Seconde,,R/W,1,,0 to 59,,,0 to 59,
