"COL","ROW","GhostSeverity","Key1","Key2","Key3","GhostK","ActualK","ComputedK"
0, 0, 2, 11, 123, 80,"[{0   )}, {F12}, {Home}]","[]","[{F8}]"
0, 0, 2, 11, 13, 121,"[{0   )}, {=   +}, {F10}]","[]","[{F8}]"
0, 0, 2, 11, 15, 122,"[{0   )}, {Bkspace}, {F11}]","[]","[{F8}]"
0, 0, 2, 11, 81, 124,"[{0   )}, {End}, {PrntScrn}]","[]","[{F8}]"
0, 0, 2, 11, 90, 126,"[{0   )}, {NumLck}, {PauseBrk}]","[]","[{F8}]"
0, 0, 2, 112, 17, 16,"[{F1}, {Q}, {Tab}]","[]","[{Esc}]"
0, 0, 2, 113, 16, 18,"[{F2}, {Tab}, {W}]","[]","[{Esc}]"
0, 0, 2, 115, 20, 16,"[{F4}, {R}, {Tab}]","[]","[{Esc}]"
0, 0, 2, 116, 21, 16,"[{F5}, {T}, {Tab}]","[]","[{Esc}]"
0, 0, 2, 117, 16, 22,"[{F6}, {Tab}, {Y}]","[]","[{Esc}]"
0, 0, 2, 118, 16, 23,"[{F7}, {Tab}, {U}]","[]","[{Esc}]"
0, 0, 2, 12, 11, 120,"[{-   _}, {0   )}, {F9}]","[]","[{F8}]"
0, 0, 2, 120, 26, 27,"[{F9}, {P}, {[   {}]","[]","[{Esc}]"
0, 0, 2, 121, 26, 28,"[{F10}, {P}, {]   }}]","[]","[{Esc}]"
0, 0, 2, 122, 26, 29,"[{F11}, {P}, {\   |}]","[]","[{Esc}]"
0, 0, 2, 123, 75, 26,"[{F12}, {Insert}, {P}]","[]","[{Esc}]"
0, 0, 2, 19, 114, 16,"[{E}, {F3}, {Tab}]","[]","[{Esc}]"
0, 0, 2, 2, 112, 1,"[{1   !}, {F1}, {`   ~}]","[]","[{Esc}]"
0, 0, 2, 26, 85, 124,"[{P}, {PageUp}, {PrntScrn}]","[]","[{Esc}]"
0, 0, 2, 3, 113, 1,"[{2   @}, {F2}, {`   ~}]","[]","[{Esc}]"
0, 0, 2, 30, 113, 32,"[{CapsLck}, {F2}, {S}]","[]","[{Esc}]"
0, 0, 2, 30, 116, 35,"[{CapsLck}, {F5}, {G}]","[]","[{Esc}]"
0, 0, 2, 30, 117, 36,"[{CapsLck}, {F6}, {H}]","[]","[{Esc}]"
0, 0, 2, 30, 118, 37,"[{CapsLck}, {F7}, {J}]","[]","[{Esc}]"
0, 0, 2, 30, 33, 114,"[{CapsLck}, {D}, {F3}]","[]","[{Esc}]"
0, 0, 2, 30, 34, 115,"[{CapsLck}, {F}, {F4}]","[]","[{Esc}]"
0, 0, 2, 31, 30, 112,"[{A}, {CapsLck}, {F1}]","[]","[{Esc}]"
0, 0, 2, 39, 86, 124,"[{L}, {PageDn}, {PrntScrn}]","[]","[{Esc}]"
0, 0, 2, 4, 114, 1,"[{3   /}, {F3}, {`   ~}]","[]","[{Esc}]"
0, 0, 2, 40, 120, 39,"[{;   :}, {F9}, {L}]","[]","[{Esc}]"
0, 0, 2, 41, 121, 39,"[{'  "}, {F10}, {L}]","[]","[{Esc}]"
0, 0, 2, 43, 122, 39,"[{Enter}, {F11}, {L}]","[]","[{Esc}]"
0, 0, 2, 5, 115, 1,"[{4   $}, {F4}, {`   ~}]","[]","[{Esc}]"
0, 0, 2, 53, 124, 83,"[{,   <}, {PrntScrn}, {UpArrow}]","[]","[{Esc}]"
0, 0, 2, 53, 54, 120,"[{,   <}, {.   >}, {F9}]","[]","[{Esc}]"
