Main Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 0,44,1101,619,616,18,83,28,43,41,40,53,38,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H8,H5,H6,,H17,H34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""L-Shift"""," ""HID Button 257: AVR power on/off"""," ""AL Entertainment Content Browser"""," ""AL OEM Features/Tips/Tutorial Browser"""," ""W"""," ""UpArrow"""," ""]}"""," ""Enter"""," ""'dblquot"""," "";:"""," """," ""K"""," ""Ro""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 1,57,,,629,110,19,6,36,26,51,52,37,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""R-Shift""",,," ""AC Open"""," ""Esc"""," ""E"""," ""5%"""," ""H"""," ""P"""," ""N"""," ""M"""," ""J"""," ""Hanja""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 2,482,58,,653,H31,85,29,84,17,12,13,39,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H27,,,H22,H31,,,H20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""Scan Next Track"""," ""L-Ctrl""",," ""AC Bookmarks""",#N/A," ""PageUp"""," ""Bkslash|"""," ""DnArrow"""," ""Q"""," ""-_"""," ""=+"""," ""L"""," ""Hanguel""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 3,483,64,,765,H32,3,50,32,89,4,8,54,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H24,,,H23,H32,H12,,,H19,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""Scan Previous Track"""," ""R-Ctrl""",," ""AC Split""",#N/A," ""2@"""," ""B"""," ""S"""," ""R-Arrow"""," ""3/"""," ""7&"""," "".>"""," ""KataHira""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 4,282,1102,60,1103,H1,23,45,35,33,21,20,27,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H4,H9,,H10,H1,,,,,,,H33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""Vol+"""," ""HID Button 258: STB power on/off"""," ""L-Alt"""," ""HID Button 259: TV power on/off""",#N/A," ""U"""," ""&lt;>"""," ""G"""," ""D"""," ""T"""," ""R"""," ""[{"""," ""Muhenkan""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 5,281,478,425,,5,24,47,647,25,34,9,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H3,,H29,,H14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""Vol-"""," ""Pause"""," ""Menu""",," ""4$"""," ""I"""," ""X"""," ""AC Back"""," ""O"""," ""F"""," ""8*"""," ""Tab"""," ""6^""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 6,280,477,,644,31,646,30,48,55,11,10,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H2,H25,,H28,,H16,,,,,,,H11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!," ""Mute"""," ""Play""",," ""AC Search"""," ""A"""," ""AC Home"""," ""CapsLck"""," ""C"""," ""/ ?"""," ""0)"""," ""9("""," ""¥|"""," ""1!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row 7,,,,22,79,15,61,86,152,46,49,42,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H18,,,,H30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,," ""Y"""," ""L-Arrow"""," ""Bkspace"""," ""Space"""," ""PageDn"""," ""R-Fn"""," ""Z"""," ""V"""," ""$£"""," ""Henkan""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
