  0,         (0x0000 + kbdm_UNDEF_PAGE ), "empty"
  1,         (0x0035 + kbdm_KBD_PAGE   ), "~"
  2,         (0x001E + kbdm_KBD_PAGE   ), "1!"
  3,         (0x001F + kbdm_KBD_PAGE   ), "2@"
  4,         (0x0020 + kbdm_KBD_PAGE   ), "3/"
  5,         (0x0021 + kbdm_KBD_PAGE   ), "4$"
  6,         (0x0022 + kbdm_KBD_PAGE   ), "5%"
  7,         (0x0023 + kbdm_KBD_PAGE   ), "6^"
  8,         (0x0024 + kbdm_KBD_PAGE   ), "7&"
  9,         (0x0025 + kbdm_KBD_PAGE   ), "8*"
 10,         (0x0026 + kbdm_KBD_PAGE   ), "9("
 11,         (0x0027 + kbdm_KBD_PAGE   ), "0)"
 12,         (0x002D + kbdm_KBD_PAGE   ), "-_"
 13,         (0x002E + kbdm_KBD_PAGE   ), "=+"
 14,         (0x0089 + kbdm_KBD_PAGE   ), "¥|"
 15,         (0x002A + kbdm_KBD_PAGE   ), "Bkspace"
 16,         (0x002B + kbdm_KBD_PAGE   ), "Tab"
 17,         (0x0014 + kbdm_KBD_PAGE   ), "Q"
 18,         (0x001A + kbdm_KBD_PAGE   ), "W"
 19,         (0x0008 + kbdm_KBD_PAGE   ), "E"
 20,         (0x0015 + kbdm_KBD_PAGE   ), "R"
 21,         (0x0017 + kbdm_KBD_PAGE   ), "T"
 22,         (0x001C + kbdm_KBD_PAGE   ), "Y"
 23,         (0x0018 + kbdm_KBD_PAGE   ), "U"
 24,         (0x000C + kbdm_KBD_PAGE   ), "I"
 25,         (0x0012 + kbdm_KBD_PAGE   ), "O"
 26,         (0x0013 + kbdm_KBD_PAGE   ), "P"
 27,         (0x002F + kbdm_KBD_PAGE   ), "[{"
 28,         (0x0030 + kbdm_KBD_PAGE   ), "]}"
 29,         (0x0031 + kbdm_KBD_PAGE   ), "Bkslash|"
 30,         (0x0039 + kbdm_KBD_PAGE   ), "CapsLck"
 31,         (0x0004 + kbdm_KBD_PAGE   ), "A"
 32,         (0x0016 + kbdm_KBD_PAGE   ), "S"
 33,         (0x0007 + kbdm_KBD_PAGE   ), "D"
 34,         (0x0009 + kbdm_KBD_PAGE   ), "F"
 35,         (0x000A + kbdm_KBD_PAGE   ), "G"
 36,         (0x000B + kbdm_KBD_PAGE   ), "H"
 37,         (0x000D + kbdm_KBD_PAGE   ), "J"
 38,         (0x000E + kbdm_KBD_PAGE   ), "K"
 39,         (0x000F + kbdm_KBD_PAGE   ), "L"
 40,         (0x0033 + kbdm_KBD_PAGE   ), ";:"
 41,         (0x0034 + kbdm_KBD_PAGE   ), "'dblquot"
 42,         (0x0032 + kbdm_KBD_PAGE   ), "$£"
 43,         (0x0028 + kbdm_KBD_PAGE   ), "Enter"
 44,         (0x00E1 + kbdm_KBD_PAGE   ), "L-Shift"
 45,         (0x0064 + kbdm_KBD_PAGE   ), "&lt;>"
 46,         (0x001D + kbdm_KBD_PAGE   ), "Z"
 47,         (0x001B + kbdm_KBD_PAGE   ), "X"
 48,         (0x0006 + kbdm_KBD_PAGE   ), "C"
 49,         (0x0019 + kbdm_KBD_PAGE   ), "V"
 50,         (0x0005 + kbdm_KBD_PAGE   ), "B"
 51,         (0x0011 + kbdm_KBD_PAGE   ), "N"
 52,         (0x0010 + kbdm_KBD_PAGE   ), "M"
 53,         (0x0036 + kbdm_KBD_PAGE   ), ",&lt;"
 54,         (0x0037 + kbdm_KBD_PAGE   ), ".>"
 55,         (0x0038 + kbdm_KBD_PAGE   ), "/ ?"
 56,         (0x0087 + kbdm_KBD_PAGE   ), "Ro"
 57,         (0x00E5 + kbdm_KBD_PAGE   ), "R-Shift"
 58,         (0x00E0 + kbdm_KBD_PAGE   ), "L-Ctrl"
 59,         (0x00E3 + kbdm_KBD_PAGE   ), "L-GUI"
 60,         (0x00E2 + kbdm_KBD_PAGE   ), "L-Alt"
 61,         (0x002C + kbdm_KBD_PAGE   ), "Space"
 62,         (0x00E6 + kbdm_KBD_PAGE   ), "R-Alt"
 63,         (0x00XX + kbdm_KBD_PAGE   ), "R-GUI"
 64,         (0x00E4 + kbdm_KBD_PAGE   ), "R-Ctrl"
 75,         (0x0049 + kbdm_KBD_PAGE   ), "Insert"
 76,         (0x004C + kbdm_KBD_PAGE   ), "Delete"
 79,         (0x0050 + kbdm_KBD_PAGE   ), "L-Arrow"
 80,         (0x004A + kbdm_KBD_PAGE   ), "Home"
 81,         (0x004D + kbdm_KBD_PAGE   ), "End"
 83,         (0x0052 + kbdm_KBD_PAGE   ), "UpArrow"
 84,         (0x0051 + kbdm_KBD_PAGE   ), "DnArrow"
 85,         (0x004B + kbdm_KBD_PAGE   ), "PageUp"
 86,         (0x004E + kbdm_KBD_PAGE   ), "PageDn"
 89,         (0x004F + kbdm_KBD_PAGE   ), "R-Arrow"
 90,         (0x0053 + kbdm_KBD_PAGE   ), "NumLck"
 91,         (0x005F + kbdm_KBD_PAGE   ), "KP 7"
 92,         (0x005C + kbdm_KBD_PAGE   ), "KP 4"
 93,         (0x0059 + kbdm_KBD_PAGE   ), "KP 1"
 95,         (0x0054 + kbdm_KBD_PAGE   ), "KP /"
 96,         (0x0060 + kbdm_KBD_PAGE   ), "KP 8"
 97,         (0x005D + kbdm_KBD_PAGE   ), "KP 5"
 98,         (0x005A + kbdm_KBD_PAGE   ), "KP 2"
 99,         (0x0062 + kbdm_KBD_PAGE   ), "KP 0"
100,         (0x0055 + kbdm_KBD_PAGE   ), "KP *"
