time,eric_20140202_raw2_log
0,347.0
122,345.0
244,350.0
366,348.0
488,343.0
610,341.0
732,343.0
854,350.0
976,347.0
1098,349.0
1220,349.0
1342,340.0
1464,328.0
1586,331.0
1708,333.0
1830,354.0
1952,351.0
2074,353.0
2196,344.0
2318,345.0
2440,352.0
2562,351.0
2684,356.0
2806,356.0
2928,343.0
3050,349.0
3172,349.0
3294,343.0
3416,351.0
3538,355.0
3660,350.0
3782,330.0
3904,344.0
4026,343.0
4148,341.0
4270,354.0
4392,359.0
4514,339.0
4636,339.0
4758,352.0
4880,348.0
5002,352.0
5124,357.0
5246,337.0
5368,343.0
5490,355.0
5612,346.0
5734,344.0
5856,354.0
5978,349.0
6100,322.0
6222,330.0
6344,350.0
6466,337.0
6588,348.0
6710,364.0
6832,345.0
6954,334.0
7076,345.0
7198,358.0
7320,349.0
7442,349.0
7564,353.0
7686,335.0
7808,344.0
7930,353.0
8052,342.0
8174,349.0
8296,348.0
8418,331.0
8540,323.0
8662,339.0
8784,347.0
8906,345.0
9028,361.0
9150,348.0
9272,339.0
9394,343.0
9516,353.0
9638,360.0
9760,347.0
9882,343.0
10004,348.0
10126,345.0
10248,342.0
10370,349.0
10492,354.0
10614,345.0
10736,326.0
10858,332.0
10980,340.0
11102,345.0
11224,353.0
11346,358.0
11468,343.0
11590,340.0
11712,346.0
11834,346.0
11956,352.0
12078,360.0
12200,346.0
12322,345.0
12444,350.0
12566,350.0
12688,348.0
12810,354.0
12932,350.0
13054,325.0
13176,328.0
13298,348.0
13420,342.0
13542,348.0
13664,357.0
13786,343.0
13908,340.0
14030,346.0
14152,359.0
14274,356.0
14396,347.0
14518,346.0
14640,348.0
14762,347.0
14884,347.0
15006,351.0
15128,353.0
15250,341.0
15372,322.0
15494,327.0
15616,341.0
15738,343.0
15860,354.0
15982,360.0
16104,344.0
16226,343.0
16348,347.0
16470,347.0
16592,349.0
16714,351.0
16836,340.0
16958,314.0
17080,335.0
17202,359.0
17324,347.0
17446,350.0
17568,358.0
17690,319.0
17812,322.0
17934,349.0
18056,354.0
18178,341.0
18300,356.0
18422,352.0
18544,333.0
18666,347.0
18788,362.0
18910,355.0
19032,362.0
19154,355.0
19276,344.0
19398,344.0
19520,346.0
19642,345.0
19764,344.0
19886,357.0
20008,348.0
20130,317.0
20252,336.0
20374,346.0
20496,340.0
20618,345.0
20740,362.0
20862,348.0
20984,337.0
21106,361.0
21228,359.0
21350,343.0
21472,362.0
21594,359.0
21716,342.0
21838,338.0
21960,352.0
22082,345.0
22204,345.0
22326,351.0
22448,328.0
22570,332.0
22692,344.0
22814,351.0
22936,353.0
23058,355.0
23180,345.0
23302,338.0
23424,347.0
23546,351.0
23668,354.0
23790,352.0
23912,342.0
24034,339.0
24156,345.0
24278,349.0
24400,359.0
24522,360.0
24644,369.0
24766,355.0
24888,326.0
25010,327.0
25132,344.0
25254,345.0
25376,343.0
25498,352.0
25620,350.0
25742,348.0
25864,349.0
25986,346.0
26108,342.0
26230,353.0
26352,346.0
26474,347.0
26596,349.0
26718,339.0
26840,346.0
26962,349.0
27084,341.0
27206,326.0
27328,324.0
27450,337.0
27572,345.0
27694,356.0
27816,348.0
27938,345.0
28060,354.0
28182,343.0
28304,350.0
28426,360.0
28548,348.0
28670,347.0
28792,353.0
28914,345.0
29036,339.0
29158,344.0
29280,353.0
29402,347.0
29524,345.0
29646,321.0
29768,333.0
29890,350.0
30012,344.0
30134,359.0
30256,356.0
30378,341.0
30500,344.0
30622,350.0
30744,354.0
30866,349.0
30988,353.0
31110,345.0
31232,348.0
31354,349.0
31476,345.0
31598,351.0
31720,356.0
31842,343.0
31964,321.0
32086,329.0
32208,345.0
32330,347.0
32452,348.0
32574,361.0
32696,339.0
32818,336.0
32940,351.0
33062,346.0
33184,349.0
33306,357.0
33428,348.0
33550,336.0
33672,347.0
33794,349.0
33916,340.0
34038,350.0
34160,354.0
34282,337.0
34404,326.0
34526,333.0
34648,338.0
34770,343.0
34892,354.0
35014,351.0
35136,341.0
35258,349.0
35380,348.0
35502,350.0
35624,357.0
35746,352.0
35868,344.0
35990,341.0
36112,350.0
36234,350.0
36356,344.0
36478,356.0
36600,349.0
36722,317.0
36844,329.0
36966,350.0
