time,eric_20140130_raw2_log
0,344.0
136,353.0
272,349.0
408,350.0
544,348.0
680,385.0
816,441.0
952,340.0
1088,327.0
1224,326.0
1360,333.0
1496,359.0
1632,345.0
1768,338.0
1904,335.0
2040,344.0
2176,343.0
2312,349.0
2448,346.0
2584,349.0
2720,349.0
2856,351.0
2992,345.0
3128,366.0
3264,437.0
3400,373.0
3536,329.0
3672,325.0
3808,323.0
3944,363.0
4080,349.0
4216,337.0
4352,335.0
4488,336.0
4624,345.0
4760,347.0
4896,340.0
5032,349.0
5168,351.0
5304,349.0
5440,346.0
5576,351.0
5712,397.0
5848,439.0
5984,334.0
6120,330.0
6256,323.0
6392,331.0
6528,359.0
6664,341.0
6800,341.0
6936,340.0
7072,347.0
7208,345.0
7344,342.0
7480,342.0
7616,350.0
7752,349.0
7888,348.0
8024,348.0
8160,356.0
8296,423.0
8432,403.0
8568,325.0
8704,337.0
8840,315.0
8976,352.0
9112,356.0
9248,344.0
9384,335.0
9520,342.0
9656,342.0
9792,344.0
9928,345.0
10064,347.0
10200,351.0
10336,351.0
10472,348.0
10608,353.0
10744,376.0
10880,445.0
11016,351.0
11152,333.0
11288,326.0
11424,328.0
11560,360.0
11696,342.0
11832,339.0
11968,336.0
12104,342.0
12240,349.0
12376,338.0
12512,349.0
12648,349.0
12784,356.0
12920,346.0
13056,343.0
13192,351.0
13328,381.0
13464,447.0
13600,344.0
13736,336.0
13872,327.0
14008,327.0
14144,361.0
14280,343.0
14416,337.0
14552,336.0
14688,340.0
14824,342.0
14960,346.0
15096,355.0
15232,338.0
15368,359.0
15504,344.0
15640,352.0
15776,385.0
15912,451.0
16048,348.0
16184,337.0
16320,334.0
16456,308.0
16592,365.0
16728,348.0
16864,336.0
17000,337.0
17136,337.0
17272,348.0
17408,342.0
17544,344.0
17680,345.0
17816,349.0
17952,347.0
18088,362.0
18224,403.0
18360,433.0
18496,330.0
18632,328.0
18768,313.0
18904,330.0
19040,360.0
19176,342.0
19312,337.0
19448,345.0
19584,343.0
19720,350.0
19856,344.0
19992,343.0
20128,349.0
20264,347.0
20400,345.0
20536,360.0
20672,411.0
20808,426.0
20944,332.0
21080,325.0
21216,305.0
21352,349.0
21488,354.0
21624,341.0
21760,342.0
21896,345.0
22032,349.0
22168,349.0
22304,341.0
22440,341.0
22576,342.0
22712,343.0
22848,348.0
22984,355.0
23120,390.0
23256,448.0
23392,339.0
23528,332.0
23664,321.0
23800,321.0
23936,356.0
24072,342.0
24208,341.0
24344,343.0
24480,348.0
24616,344.0
24752,351.0
24888,341.0
25024,341.0
25160,347.0
25296,343.0
25432,349.0
25568,351.0
25704,414.0
25840,429.0
25976,335.0
26112,330.0
26248,313.0
26384,334.0
26520,352.0
