time,eric_20140123_raw1_log
0,366.0
62,352.0
124,349.0
186,340.0
248,353.0
310,358.0
372,350.0
434,336.0
496,342.0
558,350.0
620,359.0
682,362.0
744,351.0
806,349.0
868,354.0
930,355.0
992,352.0
1054,352.0
1116,350.0
1178,342.0
1240,347.0
1302,347.0
1364,343.0
1426,341.0
1488,338.0
1550,345.0
1612,352.0
1674,352.0
1736,346.0
1798,342.0
1860,354.0
1922,343.0
1984,342.0
2046,330.0
2108,331.0
2170,344.0
2232,363.0
2294,380.0
2356,382.0
2418,382.0
2480,390.0
2542,380.0
2604,395.0
2666,350.0
2728,363.0
2790,382.0
2852,391.0
2914,330.0
2976,325.0
3038,351.0
3100,372.0
3162,356.0
3224,336.0
3286,317.0
3348,350.0
3410,354.0
3472,330.0
3534,321.0
3596,323.0
3658,340.0
3720,345.0
3782,331.0
3844,320.0
3906,329.0
3968,351.0
4030,345.0
4092,327.0
4154,339.0
4216,366.0
4278,360.0
4340,345.0
4402,339.0
4464,331.0
4526,355.0
4588,355.0
4650,349.0
4712,357.0
4774,353.0
4836,377.0
4898,406.0
4960,405.0
5022,395.0
5084,353.0
5146,339.0
5208,342.0
5270,335.0
5332,337.0
5394,339.0
5456,336.0
5518,338.0
5580,341.0
5642,345.0
5704,355.0
5766,353.0
5828,350.0
5890,337.0
5952,335.0
6014,342.0
6076,343.0
6138,334.0
6200,331.0
6262,349.0
6324,349.0
6386,347.0
6448,348.0
6510,348.0
6572,350.0
6634,345.0
6696,354.0
6758,356.0
6820,347.0
6882,345.0
6944,343.0
7006,337.0
7068,341.0
7130,345.0
7192,343.0
7254,367.0
7316,387.0
7378,403.0
7440,400.0
7502,381.0
7564,357.0
7626,344.0
7688,342.0
7750,343.0
7812,342.0
7874,337.0
7936,336.0
7998,340.0
8060,346.0
8122,352.0
8184,354.0
8246,357.0
8308,343.0
8370,339.0
8432,341.0
8494,344.0
8556,347.0
8618,344.0
8680,340.0
8742,343.0
8804,345.0
8866,344.0
8928,343.0
8990,342.0
9052,342.0
9114,347.0
9176,348.0
9238,346.0
9300,342.0
9362,346.0
9424,351.0
9486,344.0
9548,339.0
9610,343.0
9672,348.0
9734,351.0
9796,371.0
9858,396.0
9920,417.0
9982,391.0
10044,357.0
10106,341.0
10168,339.0
10230,344.0
10292,341.0
10354,338.0
10416,338.0
10478,332.0
10540,339.0
10602,349.0
10664,352.0
10726,353.0
10788,349.0
10850,342.0
10912,345.0
10974,339.0
11036,340.0
11098,337.0
11160,341.0
11222,349.0
11284,344.0
11346,344.0
11408,348.0
11470,351.0
11532,346.0
11594,340.0
11656,347.0
11718,353.0
11780,350.0
11842,342.0
11904,343.0
11966,344.0
12028,342.0
12090,339.0
12152,346.0
12214,347.0
12276,347.0
12338,367.0
12400,384.0
12462,402.0
12524,397.0
12586,375.0
12648,354.0
12710,341.0
12772,338.0
12834,342.0
12896,342.0
12958,339.0
13020,328.0
13082,337.0
13144,349.0
13206,353.0
13268,353.0
13330,346.0
13392,347.0
13454,342.0
13516,341.0
13578,346.0
13640,345.0
13702,348.0
13764,342.0
13826,342.0
13888,342.0
13950,348.0
14012,350.0
14074,341.0
14136,341.0
14198,343.0
14260,343.0
14322,349.0
14384,345.0
14446,350.0
14508,350.0
14570,338.0
14632,340.0
14694,344.0
14756,343.0
14818,339.0
14880,349.0
14942,371.0
15004,391.0
15066,398.0
15128,388.0
15190,374.0
15252,352.0
15314,341.0
15376,341.0
15438,342.0
15500,344.0
15562,337.0
15624,335.0
15686,338.0
15748,348.0
15810,350.0
15872,354.0
15934,344.0
15996,345.0
16058,345.0
16120,337.0
16182,343.0
16244,341.0
16306,344.0
16368,345.0
16430,338.0
16492,350.0
16554,343.0
16616,351.0
16678,345.0
16740,344.0
16802,350.0
16864,348.0
16926,346.0
16988,342.0
17050,348.0
17112,348.0
17174,345.0
17236,348.0
17298,344.0
17360,344.0
17422,346.0
17484,353.0
17546,373.0
17608,394.0
17670,394.0
17732,388.0
17794,362.0
17856,349.0
17918,342.0
17980,340.0
18042,344.0
18104,344.0
18166,336.0
18228,329.0
18290,342.0
18352,356.0
18414,359.0
18476,352.0
18538,343.0
18600,349.0
18662,342.0
18724,342.0
18786,344.0
18848,344.0
18910,346.0
18972,343.0
19034,343.0
19096,347.0
19158,352.0
19220,348.0
19282,344.0
19344,346.0
19406,346.0
19468,351.0
19530,347.0
19592,345.0
19654,346.0
19716,348.0
19778,349.0
19840,344.0
19902,343.0
19964,345.0
20026,347.0
20088,352.0
20150,356.0
20212,374.0
20274,394.0
20336,397.0
20398,379.0
20460,351.0
20522,344.0
20584,347.0
20646,345.0
20708,342.0
20770,340.0
20832,330.0
20894,338.0
20956,346.0
21018,354.0
21080,358.0
21142,348.0
21204,346.0
21266,338.0
21328,346.0
21390,342.0
21452,339.0
21514,343.0
21576,342.0
21638,344.0
21700,343.0
21762,344.0
21824,351.0
21886,349.0
21948,351.0
22010,355.0
22072,347.0
22134,346.0
22196,344.0
22258,348.0
22320,347.0
22382,338.0
22444,345.0
22506,347.0
22568,347.0
22630,343.0
22692,347.0
22754,359.0
22816,375.0
22878,391.0
22940,409.0
23002,399.0
23064,371.0
23126,345.0
23188,338.0
23250,344.0
23312,353.0
23374,342.0
23436,334.0
23498,339.0
23560,359.0
23622,363.0
23684,355.0
23746,364.0
23808,363.0
23870,341.0
23932,339.0
23994,332.0
24056,333.0
24118,337.0
24180,341.0
24242,344.0
24304,345.0
24366,345.0
24428,343.0
24490,347.0
24552,346.0
24614,349.0
24676,351.0
24738,345.0
24800,344.0
24862,344.0
24924,346.0
24986,348.0
25048,343.0
25110,353.0
25172,350.0
25234,348.0
25296,345.0
25358,348.0
25420,350.0
25482,373.0
25544,396.0
25606,407.0
25668,403.0
25730,371.0
25792,353.0
25854,342.0
25916,341.0
25978,345.0
26040,341.0
26102,331.0
26164,334.0
26226,342.0
26288,350.0
26350,355.0
26412,348.0
26474,347.0
26536,341.0
26598,340.0
26660,344.0
26722,340.0
26784,345.0
26846,337.0
26908,341.0
26970,347.0
27032,346.0
27094,346.0
27156,342.0
27218,347.0
27280,357.0
27342,345.0
27404,347.0
27466,343.0
27528,348.0
27590,346.0
27652,339.0
27714,351.0
27776,345.0
27838,346.0
27900,349.0
27962,343.0
28024,356.0
28086,365.0
28148,389.0
28210,400.0
28272,395.0
28334,380.0
28396,351.0
28458,341.0
28520,344.0
28582,346.0
28644,343.0
28706,333.0
28768,332.0
28830,340.0
28892,348.0
28954,353.0
29016,346.0
29078,351.0
29140,346.0
29202,341.0
29264,346.0
29326,338.0
29388,345.0
29450,340.0
29512,342.0
29574,347.0
29636,345.0
29698,348.0
29760,341.0
29822,354.0
29884,349.0
29946,344.0
30008,347.0
30070,348.0
30132,352.0
30194,342.0
30256,342.0
30318,346.0
30380,348.0
30442,351.0
30504,341.0
30566,349.0
30628,350.0
30690,344.0
30752,367.0
30814,382.0
30876,418.0
30938,394.0
31000,362.0
31062,353.0
31124,340.0
31186,352.0
31248,342.0
31310,334.0
31372,342.0
31434,330.0
31496,350.0
31558,342.0
31620,352.0
31682,353.0
31744,342.0
31806,349.0
31868,341.0
31930,344.0
31992,346.0
32054,346.0
32116,344.0
32178,334.0
32240,350.0
32302,371.0
32364,373.0
32426,361.0
32488,339.0
32550,341.0
32612,367.0
32674,360.0
32736,335.0
32798,335.0
32860,350.0
32922,357.0
32984,363.0
33046,346.0
33108,345.0
33170,341.0
33232,338.0
33294,335.0
33356,337.0
33418,346.0
33480,372.0
33542,408.0
33604,418.0
33666,378.0
33728,357.0
33790,338.0
33852,324.0
33914,329.0
33976,322.0
34038,308.0
34100,315.0
34162,329.0
34224,353.0
34286,347.0
34348,343.0
34410,332.0
34472,346.0
34534,369.0
34596,358.0
34658,337.0
34720,338.0
34782,350.0
34844,346.0
34906,347.0
34968,352.0
35030,360.0
35092,360.0
35154,346.0
35216,348.0
35278,362.0
35340,349.0
35402,348.0
35464,345.0
35526,338.0
35588,343.0
35650,346.0
35712,343.0
35774,343.0
35836,335.0
35898,338.0
35960,353.0
36022,364.0
36084,380.0
36146,403.0
36208,415.0
36270,409.0
36332,383.0
36394,373.0
36456,360.0
36518,356.0
36580,360.0
36642,362.0
36704,342.0
36766,327.0
36828,334.0
36890,340.0
36952,336.0
37014,344.0
37076,345.0
37138,353.0
37200,361.0
37262,358.0
37324,361.0
37386,357.0
37448,355.0
37510,364.0
37572,371.0
37634,360.0
37696,353.0
37758,333.0
37820,314.0
37882,310.0
37944,310.0
38006,301.0
38068,317.0
38130,356.0
38192,359.0
38254,368.0
38316,358.0
38378,338.0
38440,336.0
38502,341.0
38564,335.0
38626,329.0
38688,382.0
38750,390.0
38812,395.0
38874,408.0
38936,373.0
38998,333.0
39060,339.0
39122,337.0
39184,354.0
39246,351.0
39308,319.0
39370,330.0
39432,355.0
39494,356.0
39556,359.0
39618,354.0
39680,344.0
39742,348.0
39804,344.0
39866,352.0
39928,352.0
39990,358.0
40052,343.0
40114,331.0
40176,338.0
40238,339.0
40300,330.0
40362,322.0
40424,330.0
40486,346.0
40548,347.0
40610,350.0
40672,347.0
40734,351.0
40796,353.0
40858,347.0
40920,351.0
40982,350.0
41044,343.0
41106,341.0
41168,342.0
41230,357.0
41292,378.0
41354,400.0
41416,423.0
41478,389.0
41540,351.0
41602,333.0
41664,338.0
41726,346.0
41788,344.0
41850,336.0
41912,334.0
41974,333.0
42036,341.0
42098,352.0
42160,357.0
42222,358.0
42284,349.0
42346,348.0
42408,340.0
42470,340.0
42532,340.0
42594,341.0
42656,345.0
42718,333.0
42780,346.0
42842,354.0
42904,355.0
42966,349.0
43028,342.0
43090,346.0
43152,343.0
43214,339.0
43276,348.0
43338,343.0
43400,345.0
43462,349.0
43524,342.0
43586,346.0
43648,347.0
43710,349.0
43772,343.0
43834,368.0
43896,390.0
43958,402.0
44020,402.0
44082,364.0
44144,356.0
44206,347.0
44268,343.0
44330,338.0
44392,334.0
44454,342.0
44516,335.0
44578,343.0
44640,343.0
44702,354.0
44764,362.0
44826,351.0
44888,348.0
44950,341.0
45012,347.0
45074,341.0
45136,344.0
45198,345.0
45260,350.0
45322,344.0
45384,343.0
45446,352.0
45508,343.0
45570,346.0
45632,346.0
45694,347.0
45756,350.0
45818,344.0
45880,355.0
45942,343.0
46004,346.0
46066,347.0
46128,346.0
46190,348.0
46252,346.0
46314,355.0
46376,363.0
46438,382.0
46500,398.0
46562,396.0
46624,385.0
46686,352.0
46748,341.0
46810,340.0
46872,342.0
46934,349.0
46996,335.0
47058,334.0
47120,341.0
47182,355.0
47244,361.0
47306,349.0
47368,353.0
47430,352.0
47492,346.0
47554,335.0
47616,337.0
47678,347.0
47740,342.0
47802,345.0
47864,349.0
47926,351.0
47988,352.0
48050,339.0
48112,347.0
48174,350.0
48236,352.0
48298,349.0
48360,344.0
48422,353.0
48484,351.0
48546,346.0
48608,347.0
48670,349.0
48732,351.0
48794,344.0
48856,348.0
48918,367.0
48980,381.0
49042,400.0
49104,402.0
49166,388.0
49228,362.0
49290,359.0
49352,357.0
49414,357.0
49476,360.0
49538,352.0
49600,327.0
49662,328.0
49724,336.0
49786,353.0
49848,365.0
49910,345.0
49972,353.0
50034,339.0
50096,335.0
50158,326.0
50220,332.0
50282,349.0
50344,348.0
50406,325.0
50468,329.0
50530,368.0
50592,356.0
50654,341.0
50716,343.0
50778,348.0
50840,358.0
50902,369.0
50964,369.0
51026,366.0
51088,362.0
51150,357.0
51212,366.0
51274,355.0
51336,341.0
51398,344.0
51460,346.0
51522,374.0
51584,390.0
51646,397.0
51708,377.0
51770,360.0
51832,350.0
51894,297.0
51956,314.0
52018,349.0
52080,339.0
52142,335.0
52204,307.0
52266,326.0
52328,363.0
52390,355.0
52452,365.0
52514,350.0
52576,360.0
52638,351.0
52700,343.0
52762,335.0
52824,339.0
52886,368.0
52948,374.0
53010,372.0
53072,378.0
53134,392.0
53196,402.0
53258,388.0
53320,409.0
53382,412.0
53444,383.0
53506,399.0
53568,443.0
53630,399.0
53692,324.0
53754,319.0
53816,344.0
53878,324.0
53940,289.0
54002,303.0
54064,354.0
54126,387.0
54188,426.0
54250,448.0
54312,383.0
54374,323.0
54436,317.0
54498,351.0
54560,370.0
54622,341.0
54684,317.0
54746,302.0
54808,364.0
54870,382.0
54932,341.0
54994,333.0
55056,343.0
55118,355.0
55180,368.0
55242,338.0
55304,341.0
55366,345.0
55428,332.0
55490,363.0
55552,358.0
55614,338.0
55676,346.0
55738,354.0
55800,359.0
55862,343.0
55924,335.0
55986,336.0
56048,349.0
56110,368.0
56172,355.0
56234,350.0
56296,351.0
56358,354.0
56420,365.0
56482,341.0
56544,336.0
56606,374.0
56668,376.0
56730,390.0
56792,390.0
56854,332.0
56916,303.0
56978,347.0
57040,363.0
57102,328.0
57164,319.0
57226,308.0
57288,306.0
57350,327.0
57412,349.0
57474,332.0
